epoch,loss,lr,val_loss
0,8192.9091796875,0.001,4166.3662109375
1,2378.624755859375,0.001,2521.649658203125
2,1979.6815185546875,0.001,2460.482666015625
3,1777.5908203125,0.001,2455.0546875
4,1657.4332275390625,0.001,2236.509521484375
5,1541.05859375,0.001,1911.849609375
6,1474.7816162109375,0.001,2161.9853515625
7,1477.0606689453125,0.001,2815.24267578125
8,1399.6326904296875,0.001,2034.759765625
9,1403.0352783203125,0.00090000004,2841.045166015625
10,1333.4110107421875,0.00090000004,2340.44873046875
11,1317.2713623046875,0.00090000004,2671.486083984375
12,1288.0968017578125,0.00081000006,2798.021728515625
13,1245.9088134765625,0.00081000006,3248.999755859375
