epoch,loss,lr,sensitivity_at_specificity_3,specificity_at_sensitivity_4,val_loss,val_sensitivity_at_specificity_3,val_specificity_at_sensitivity_4
0,0.3227289915084839,0.001,0.32076501846313477,0.49820464849472046,0.30222970247268677,0.7179479598999023,0.8945850729942322
1,0.1615195870399475,0.001,0.7622261047363281,0.9374739527702332,0.17767314612865448,0.805115818977356,0.9690585136413574
2,0.12991029024124146,0.001,0.8242540955543518,0.9782274961471558,0.12834402918815613,0.8287906646728516,0.9833594560623169
3,0.11136280000209808,0.001,0.8427188992500305,0.9885371923446655,0.10534144937992096,0.8525508046150208,0.9911220073699951
4,0.09705739468336105,0.001,0.8590299487113953,0.99416583776474,0.08941464871168137,0.869489848613739,0.9957497715950012
5,0.08380366861820221,0.001,0.87453693151474,0.9969059228897095,0.07432693243026733,0.8890436291694641,0.9981580376625061
6,0.07098106294870377,0.001,0.8870860934257507,0.9981161952018738,0.062488336116075516,0.9079152941703796,0.9993364214897156
7,0.06248508021235466,0.001,0.8960744142532349,0.9987441301345825,0.05633476376533508,0.9195680022239685,0.9996625185012817
8,0.05766233801841736,0.001,0.9023059606552124,0.9990980625152588,0.05070694163441658,0.9277817010879517,0.9998226761817932
9,0.05550943687558174,0.001,0.9031961560249329,0.9991266131401062,0.05292028188705444,0.9307091236114502,0.9998341202735901
