epoch,loss,lr,sensitivity_at_specificity_2,specificity_at_sensitivity_3,val_loss,val_sensitivity_at_specificity_2,val_specificity_at_sensitivity_3
0,0.25552132725715637,0.001,0.4388478994369507,0.5953303575515747,0.15752018988132477,0.7251669764518738,0.9268422722816467
1,0.11093806475400925,0.001,0.8050139546394348,0.979317843914032,0.09547770768404007,0.8456160426139832,0.9927752017974854
2,0.07308373600244522,0.001,0.8704878687858582,0.9967175722122192,0.061226584017276764,0.8989057540893555,0.9989359974861145
3,0.05524216964840889,0.001,0.8968498110771179,0.9988354444503784,0.050944890826940536,0.9232627749443054,0.9997425675392151
4,0.050307463854551315,0.001,0.9040576815605164,0.9991094470024109,0.07091043144464493,0.922552227973938,0.999754011631012
5,0.0483284518122673,0.001,0.9041438102722168,0.9991779923439026,0.06441716849803925,0.9287764430046082,0.999845564365387
6,0.046167321503162384,0.001,0.9104614853858948,0.9994405508041382,0.057989586144685745,0.9327554106712341,0.9998913407325745
7,0.047543179243803024,0.00090000004,0.9040576815605164,0.999229371547699,0.08044486492872238,0.928264856338501,0.999845564365387
8,0.04613382741808891,0.00090000004,0.9077908396720886,0.9992978572845459,0.0806649923324585,0.9297711849212646,0.9998684525489807
9,0.0431557260453701,0.00090000004,0.9183872938156128,0.9996232390403748,0.057404886931180954,0.9375585913658142,0.9999141693115234
