epoch,loss,lr,val_loss
0,8934.0576171875,0.001,5715.93896484375
1,2271.740234375,0.001,2767.68603515625
2,1799.4373779296875,0.001,2305.416259765625
3,1654.812744140625,0.001,1996.4822998046875
4,1443.37353515625,0.001,1694.52783203125
5,1275.575927734375,0.001,1618.804931640625
6,1139.365478515625,0.001,1739.180908203125
7,1061.4234619140625,0.001,1653.1890869140625
8,953.197998046875,0.001,1905.62939453125
9,932.2569580078125,0.00090000004,1835.655517578125
10,907.4783325195312,0.00090000004,1842.5938720703125
11,832.675048828125,0.00090000004,2163.392822265625
12,812.0394897460938,0.00081000006,2089.428955078125
13,762.3844604492188,0.00081000006,2117.083740234375
