epoch,loss,val_loss
0,6101.83154296875,2475.21875
1,1422.802490234375,2110.58544921875
2,1338.541748046875,2086.841796875
3,1337.1463623046875,2206.213623046875
4,1286.7025146484375,2189.646728515625
5,1242.478759765625,2021.4114990234375
6,1221.420166015625,2090.79638671875
7,1190.06298828125,2125.1708984375
8,1182.37060546875,2003.506103515625
9,1128.056884765625,2004.386474609375
10,1112.826416015625,1998.3297119140625
11,1037.6756591796875,2175.32666015625
12,954.6097412109375,2057.52197265625
13,880.659423828125,1649.52294921875
14,803.0892333984375,1487.57861328125
15,790.8670043945312,1576.5155029296875
16,741.9525756835938,1979.428466796875
17,689.92919921875,1960.62890625
18,672.1924438476562,1883.259521484375
19,639.7745971679688,1725.1187744140625
20,613.9911499023438,1834.9068603515625
21,576.8372192382812,1954.9405517578125
22,569.9044799804688,1921.8441162109375
23,551.2052001953125,1904.645751953125
24,540.2562255859375,1849.4227294921875
25,534.901611328125,1716.7452392578125
26,511.0476379394531,1957.64208984375
27,489.4254150390625,2122.88525390625
28,490.79669189453125,2070.041748046875
29,484.9450378417969,1945.99560546875
30,474.0728759765625,1851.5244140625
31,464.1226501464844,1944.650146484375
32,448.2829284667969,2063.262451171875
33,438.6094970703125,2147.343505859375
34,439.03228759765625,2032.5013427734375
35,420.56201171875,2103.310546875
36,414.3508605957031,1941.3206787109375
37,404.4046325683594,2071.369140625
38,412.8424377441406,1998.546630859375
39,372.31597900390625,2148.7041015625
40,376.8689270019531,1996.96484375
41,386.7123107910156,2039.91748046875
42,378.7114562988281,2023.4857177734375
43,360.86383056640625,2092.194091796875
44,367.103515625,2410.107666015625
45,353.7930603027344,2088.5185546875
46,358.439453125,2178.961181640625
47,344.2790222167969,2109.975830078125
48,330.269287109375,2109.082763671875
49,314.4324951171875,2130.42578125
