epoch,loss,val_loss
0,5155.87451171875,2402.665283203125
1,1441.84765625,2289.068603515625
2,1380.84326171875,2321.404541015625
3,1342.6822509765625,2404.81494140625
4,1324.7391357421875,2325.189697265625
5,1313.0645751953125,2290.44287109375
6,1249.2481689453125,2360.94775390625
7,1213.0880126953125,2240.885009765625
8,1189.8023681640625,2451.155029296875
9,1150.819580078125,2319.355224609375
10,1094.7113037109375,2170.011474609375
11,992.7947998046875,1864.3555908203125
12,950.661376953125,1986.74853515625
13,878.7723388671875,1884.39892578125
14,806.6064453125,1892.4688720703125
15,751.0335693359375,2186.38623046875
16,688.9842529296875,2098.2998046875
17,616.8538208007812,2139.247314453125
