epoch,loss,lr,val_loss
0,9727.453125,0.001,7212.81787109375
1,2793.85791015625,0.001,2802.715087890625
2,2122.984375,0.001,2495.144775390625
3,1960.529541015625,0.001,2558.435302734375
4,1935.701416015625,0.001,2487.970947265625
5,1858.975341796875,0.001,2509.1064453125
6,1845.26220703125,0.001,2490.56591796875
7,1799.0186767578125,0.001,2416.98828125
8,1716.72265625,0.001,2339.7587890625
9,1663.605224609375,0.001,2382.068115234375
10,1618.2332763671875,0.001,2379.321044921875
11,1544.01513671875,0.001,2510.27001953125
12,1476.3250732421875,0.00090000004,2396.64697265625
