epoch,loss,lr,val_loss
0,8676.5859375,0.001,5757.0625
1,2639.40283203125,0.001,2658.5986328125
2,2184.623291015625,0.001,2511.32421875
3,2035.0948486328125,0.001,2591.591552734375
4,2004.0872802734375,0.001,2567.030517578125
5,1943.036376953125,0.001,2688.510498046875
6,1914.7762451171875,0.00090000004,2716.71875
7,1926.6317138671875,0.00090000004,2737.06005859375
8,1864.2095947265625,0.00090000004,2837.864501953125
9,1771.8642578125,0.00081000006,3024.33984375
10,1682.974365234375,0.00081000006,2866.12158203125
