epoch,loss,lr,sensitivity_at_specificity_6,signal_efficiency,val_loss,val_sensitivity_at_specificity_6,val_signal_efficiency
0,0.28493449091911316,0.001,0.38793325424194336,0.557488203048706,0.2513730525970459,0.7231774926185608,0.8968732357025146
1,0.14459772408008575,0.001,0.7838497757911682,0.9509404897689819,0.13860706984996796,0.8246980309486389,0.9787660241127014
2,0.10948280990123749,0.001,0.8350515365600586,0.9866191148757935,0.09941782802343369,0.8526076674461365,0.9919571876525879
3,0.09061521291732788,0.001,0.8564741611480713,0.9943428039550781,0.08034037798643112,0.8758845925331116,0.9964876770973206
4,0.0769488662481308,0.00090000004,0.871177077293396,0.9967518448829651,0.06952393800020218,0.8932499885559082,0.9985184073448181
5,0.06774922460317612,0.00090000004,0.8853631019592285,0.9979335069656372,0.06084449589252472,0.9093647599220276,0.9993993639945984
6,0.061995524913072586,0.00090000004,0.891192615032196,0.9984757900238037,0.05918398126959801,0.9157027006149292,0.9996167421340942
