epoch,loss,lr,recall_1,specificity_at_sensitivity_1,val_loss,val_recall_1,val_specificity_at_sensitivity_1
0,0.12791304290294647,0.001,0.7752321362495422,0.9325242638587952,0.17639820277690887,0.5844745635986328,0.9998283386230469
1,0.03307206928730011,0.001,0.9534642696380615,0.999914288520813,0.12977124750614166,0.7513659000396729,0.9998855590820312
2,0.02757023647427559,0.001,0.9620893001556396,0.999960720539093,0.060636065900325775,0.8900873064994812,0.9999713897705078
3,0.023922398686408997,0.001,0.9673749804496765,0.9999821186065674,0.02548210136592388,0.957567572593689,0.9999856948852539
4,0.02122378721833229,0.001,0.9713928699493408,0.9999964237213135,0.020361511036753654,0.9703398942947388,1.0
5,0.019502930343151093,0.001,0.9749464392662048,1.0,0.019487842917442322,0.9796352982521057,0.9999856948852539
6,0.018253015354275703,0.001,0.9770535826683044,1.0,0.019582783803343773,0.9682111740112305,1.0
7,0.017629744485020638,0.001,0.9783214330673218,1.0,0.02482132986187935,0.958986759185791,1.0
8,0.016731807962059975,0.001,0.9797142744064331,1.0,0.02601092867553234,0.9564322829246521,1.0
9,0.016145845875144005,0.00090000004,0.9800000190734863,1.0,0.02992761880159378,0.9517490863800049,1.0
