epoch,loss,lr,recall,specificity_at_sensitivity,val_loss,val_recall,val_specificity_at_sensitivity
0,0.01983276568353176,0.001,0.974366307258606,0.9999856948852539,0.024531468749046326,0.9585993885993958,1.0
1,0.01886458694934845,0.001,0.9757079482078552,0.9999892711639404,0.02889362722635269,0.9527158141136169,1.0
2,0.018115922808647156,0.001,0.9763876795768738,0.999992847442627,0.023391034454107285,0.9616129994392395,1.0
3,0.017615046352148056,0.001,0.9773178696632385,0.9999892711639404,0.02459956333041191,0.958527684211731,1.0
4,0.016887959092855453,0.001,0.9781407117843628,0.999992847442627,0.021533988416194916,0.9655593037605286,1.0
5,0.01632954552769661,0.001,0.9793034195899963,0.9999821782112122,0.019382312893867493,0.9699361324310303,1.0
6,0.015584522858262062,0.001,0.9798758625984192,0.9999821782112122,0.02101299911737442,0.9664202928543091,1.0
7,0.014813249930739403,0.001,0.9813963174819946,0.9999821782112122,0.01957555115222931,0.9693621397018433,1.0
8,0.014158964157104492,0.001,0.982344388961792,0.999992847442627,0.021530188620090485,0.9662768244743347,1.0
9,0.013559110462665558,0.00090000004,0.9830062985420227,0.9999856948852539,0.027885552495718002,0.9569491147994995,1.0
