epoch,loss,lr,signal_efficiency,specificity_at_sensitivity_9,val_loss,val_signal_efficiency,val_specificity_at_sensitivity_9
0,0.46537110209465027,0.001,0.07724779844284058,0.10217782109975815,0.3307797610759735,0.3935483992099762,0.46515724062919617
1,0.2608778178691864,0.001,0.5305975675582886,0.6386356353759766,0.2231350541114807,0.6262611746788025,0.8053073287010193
2,0.1957862228155136,0.001,0.6789478063583374,0.8614128828048706,0.17428648471832275,0.7279238104820251,0.9181529879570007
3,0.15803353488445282,0.001,0.7557361721992493,0.9390552043914795,0.1455606371164322,0.782151460647583,0.9601461887359619
4,0.13209682703018188,0.00090000004,0.7959107756614685,0.9724332690238953,0.12480621039867401,0.815887451171875,0.9805107116699219
5,0.11494147777557373,0.00090000004,0.8236223459243774,0.9875438809394836,0.10698656737804413,0.8432570695877075,0.9904298186302185
6,0.10000250488519669,0.00090000004,0.8417999744415283,0.9931496977806091,0.09350703656673431,0.8660508990287781,0.9958584308624268
7,0.08910450339317322,0.00081000006,0.8577663898468018,0.9953760504722595,0.08335818350315094,0.8787267208099365,0.9974201321601868
8,0.07998035848140717,0.00081000006,0.8697699904441833,0.9969459176063538,0.07414466887712479,0.8947563171386719,0.998661458492279
9,0.07385990768671036,0.00081000006,0.8762599229812622,0.9974254369735718,0.06964501738548279,0.9024584293365479,0.999187707901001
10,0.06978684663772583,0.0007290001,0.8817161321640015,0.9978764057159424,0.06643708795309067,0.9096205830574036,0.9994737505912781
11,0.06567907333374023,0.0007290001,0.8894121646881104,0.9984586834907532,0.06214113160967827,0.9176069498062134,0.9996453523635864
12,0.06376352906227112,0.0007290001,0.8942365646362305,0.9986984729766846,0.060427553951740265,0.9201932549476624,0.9997139573097229
13,0.06250499933958054,0.00065610005,0.890790581703186,0.9984415769577026,0.05653645843267441,0.9250532984733582,0.9997654557228088
14,0.061108581721782684,0.00065610005,0.8956723809242249,0.9986870288848877,0.05514403060078621,0.9285491108894348,0.9997997879981995
15,0.06089256703853607,0.00065610005,0.8908193111419678,0.9984986186027527,0.06272167712450027,0.9243711829185486,0.9997826218605042
16,0.05833827704191208,0.00059049006,0.8983717560768127,0.9988925457000732,0.05481700599193573,0.929060697555542,0.9998341202735901
17,0.05708293616771698,0.00059049006,0.9023920893669128,0.9991266131401062,0.05477529019117355,0.931334376335144,0.9998283982276917
18,0.0564810074865818,0.00059049006,0.8997789025306702,0.9989838600158691,0.04992443695664406,0.9350007176399231,0.999885618686676
19,0.05601118877530098,0.00053144107,0.902506947517395,0.9990752339363098,0.051842138171195984,0.933636486530304,0.9998684525489807
20,0.05460487678647041,0.00053144107,0.9054360389709473,0.9992407560348511,0.049718763679265976,0.9353702068328857,0.999885618686676
21,0.05464373901486397,0.00053144107,0.9049478769302368,0.9991551041603088,0.050718288868665695,0.9355407357215881,0.9998798966407776
22,0.05529044568538666,0.00047829695,0.9026218056678772,0.9991151690483093,0.05336082726716995,0.9351712465286255,0.999885618686676
23,0.05342375859618187,0.00047829695,0.906268835067749,0.9992806911468506,0.05148490518331528,0.9367912411689758,0.9998970627784729
24,0.05402548983693123,0.00047829695,0.9052637815475464,0.999229371547699,0.05091800168156624,0.9371891617774963,0.9999027252197266
25,0.05368483439087868,0.00043046725,0.9037417769432068,0.9991893768310547,0.05157100409269333,0.9375302195549011,0.9999027252197266
26,0.05252569541335106,0.00043046725,0.9091405272483826,0.9994006156921387,0.05297723785042763,0.9379280805587769,0.9999027252197266
27,0.05241459980607033,0.00043046725,0.9100594520568848,0.9994063377380371,0.05623089522123337,0.9366775751113892,0.9998970627784729
28,0.05207766592502594,0.00038742053,0.9090830683708191,0.9992978572845459,0.0539231076836586,0.9380701780319214,0.9999027252197266
29,0.05171217769384384,0.00038742053,0.9074175357818604,0.9993377923965454,0.05296332761645317,0.9396333694458008,0.9999027252197266
