epoch,loss,val_loss
0,5174.25439453125,2399.779052734375
1,1468.0406494140625,2092.94189453125
2,1376.47216796875,2217.6328125
3,1320.4473876953125,2016.4700927734375
4,1300.15087890625,2147.634521484375
5,1294.0052490234375,2164.387451171875
6,1271.990478515625,2300.361083984375
7,1233.1031494140625,2091.641357421875
8,1213.75390625,2289.14013671875
9,1204.2552490234375,2150.5322265625
10,1174.7432861328125,2234.2421875
11,1084.8363037109375,1960.433837890625
12,1037.1834716796875,2100.48095703125
13,899.8687744140625,1934.8197021484375
14,853.4237060546875,2182.03857421875
15,787.8121948242188,2504.816162109375
16,734.5419311523438,2406.6796875
17,718.3558349609375,2247.541259765625
18,658.7666625976562,2332.1337890625
19,636.1500854492188,2119.6123046875
20,603.2088012695312,2130.14306640625
21,584.6710205078125,2246.50732421875
22,561.744384765625,2306.864013671875
23,547.25,2361.987548828125
24,528.9396362304688,2491.40576171875
25,510.7589416503906,2412.302001953125
26,490.5535583496094,2435.44775390625
27,470.1297302246094,2537.297119140625
28,457.26800537109375,2464.463134765625
29,430.1004638671875,2453.556884765625
30,427.2735900878906,2580.794189453125
31,401.2785339355469,2469.534912109375
32,387.69696044921875,2556.70166015625
33,364.59771728515625,2226.586181640625
34,353.8771057128906,2658.1171875
35,347.8447265625,2500.18115234375
36,328.304931640625,2502.35693359375
