epoch,loss,val_loss
0,3382.553955078125,2342.00048828125
1,1387.23876953125,2171.59765625
2,1327.587890625,2135.124755859375
3,1267.93408203125,2273.47021484375
4,1235.3980712890625,1991.5323486328125
5,1155.48681640625,1978.4239501953125
6,1033.736572265625,2115.329833984375
7,900.3365478515625,2246.169189453125
8,833.1890869140625,1940.7197265625
9,752.3049926757812,1867.503662109375
10,680.034912109375,2041.8209228515625
11,617.0881958007812,1888.812255859375
12,549.8828125,2460.657470703125
13,534.7479248046875,1998.9752197265625
14,517.7567138671875,2238.510009765625
15,483.0531921386719,2248.519287109375
16,449.3382568359375,2234.87451171875
17,428.4859313964844,2038.68408203125
18,415.0949401855469,2343.987548828125
19,398.7529602050781,2421.74853515625
20,387.9817199707031,2197.436279296875
21,374.9425964355469,2355.8291015625
22,362.543212890625,2483.842041015625
23,356.0136413574219,2101.903076171875
24,337.8372497558594,2353.162841796875
25,320.995849609375,2358.994384765625
26,319.287353515625,2493.126220703125
27,311.12799072265625,2466.509033203125
28,294.9371643066406,2407.991455078125
29,275.45208740234375,2439.808349609375
30,278.65277099609375,2423.28369140625
31,273.1106872558594,2524.5029296875
32,272.24322509765625,2504.069580078125
33,261.00140380859375,2538.650146484375
34,248.9781036376953,2328.844482421875
35,255.87120056152344,2504.3349609375
36,232.7953643798828,2527.6875
37,236.91519165039062,2410.01806640625
38,235.0640869140625,2598.3876953125
39,225.86961364746094,2532.266845703125
40,221.9978790283203,2392.660888671875
41,213.29177856445312,2483.6533203125
42,216.74732971191406,2501.55517578125
43,206.5047607421875,2416.255859375
44,202.8380126953125,2424.119873046875
45,209.20468139648438,2507.405517578125
46,193.71310424804688,2278.7607421875
47,201.20399475097656,2562.035400390625
48,194.54315185546875,2718.54052734375
49,179.23097229003906,2507.6455078125
