epoch,loss,lr,val_loss
0,1444.8858642578125,0.001,2003.8345947265625
1,1063.2821044921875,0.001,1899.341796875
2,868.4988403320312,0.001,2028.527099609375
3,729.2333984375,0.001,2029.235107421875
4,579.8515625,0.001,2593.15087890625
5,510.66552734375,0.001,2235.35693359375
6,426.7019958496094,0.001,2335.597412109375
7,374.1103210449219,0.001,2254.908447265625
8,295.4298400878906,0.00067000004,2645.5927734375
9,266.5119934082031,0.00067000004,2819.01318359375
10,233.1663055419922,0.00067000004,2845.737060546875
11,220.6175994873047,0.00067000004,2793.321533203125
12,193.38682556152344,0.00067000004,2603.076171875
