epoch,loss,lr,val_loss
0,5671.82373046875,0.001,2934.334228515625
1,2443.437255859375,0.001,2775.66259765625
2,2202.01904296875,0.001,2951.31201171875
3,2017.8177490234375,0.001,3049.447509765625
4,1771.93994140625,0.001,3138.21630859375
5,1609.8531494140625,0.00090000004,3718.658447265625
6,1442.0780029296875,0.00090000004,3987.65478515625
7,1308.0924072265625,0.00090000004,4498.490234375
8,1207.856689453125,0.00081000006,5022.60498046875
9,1145.29931640625,0.00081000006,5666.75634765625
10,1058.0859375,0.00081000006,5715.5859375
11,1011.6729736328125,0.0007290001,6374.23388671875
12,960.9816284179688,0.0007290001,6960.11083984375
13,926.9507446289062,0.0007290001,5900.78662109375
14,919.713134765625,0.00065610005,6933.82275390625
15,818.3963012695312,0.00065610005,7360.49853515625
16,771.702392578125,0.00065610005,7397.263671875
17,765.9389038085938,0.00059049006,7493.4228515625
18,761.4733276367188,0.00059049006,7693.4970703125
19,725.476318359375,0.00059049006,7338.341796875
20,724.0318603515625,0.00053144107,7675.560546875
21,701.2056274414062,0.00053144107,7870.859375
22,683.6235961914062,0.00053144107,8220.517578125
23,659.7034301757812,0.00047829695,8193.865234375
