epoch,loss,lr,val_loss
0,9422.982421875,0.001,5040.35302734375
1,1591.1082763671875,0.001,2399.84326171875
2,1256.1842041015625,0.001,2139.474365234375
3,1197.63232421875,0.001,2031.861083984375
4,1169.1214599609375,0.001,2105.251953125
5,1106.570068359375,0.001,2232.42724609375
6,1089.973388671875,0.001,2067.369140625
7,1050.25390625,0.00067000004,2068.377197265625
8,1038.5931396484375,0.00067000004,2088.428466796875
9,1037.0626220703125,0.00067000004,2046.3067626953125
10,1013.1068115234375,0.0004489,2087.697998046875
11,998.365966796875,0.0004489,2070.95703125
