epoch,loss,lr,val_loss
0,8693.80859375,0.001,3495.814697265625
1,1871.0228271484375,0.001,3311.718505859375
2,1574.4844970703125,0.001,2226.495361328125
3,1443.52685546875,0.001,2366.4853515625
4,1393.1934814453125,0.001,2341.42724609375
5,1389.843017578125,0.001,2211.961181640625
6,1351.9405517578125,0.001,2207.011474609375
7,1343.6256103515625,0.001,2321.846435546875
8,1368.9349365234375,0.001,2238.718994140625
9,1370.598876953125,0.001,2162.710693359375
10,1338.736572265625,0.001,2156.65185546875
11,1315.077880859375,0.001,2232.6416015625
12,1315.8582763671875,0.001,2274.81884765625
13,1325.1424560546875,0.001,2135.4248046875
14,1304.4688720703125,0.001,2152.399169921875
15,1285.2474365234375,0.001,2160.70458984375
16,1268.377197265625,0.001,2241.4248046875
17,1264.8544921875,0.00067000004,2096.5107421875
18,1251.8043212890625,0.00067000004,2175.509765625
19,1278.5701904296875,0.00067000004,2155.64404296875
20,1271.4376220703125,0.00067000004,2159.944580078125
21,1256.6663818359375,0.0004489,2130.669921875
22,1240.8616943359375,0.0004489,2084.474365234375
23,1262.093994140625,0.0004489,2033.328857421875
24,1239.6053466796875,0.0004489,2119.274658203125
25,1235.6756591796875,0.0004489,2122.34765625
26,1228.8018798828125,0.0004489,2021.884033203125
27,1244.8751220703125,0.0004489,2099.392578125
28,1236.1033935546875,0.0004489,2019.6339111328125
29,1238.350830078125,0.0004489,2138.34765625
30,1239.9342041015625,0.0004489,2028.356201171875
31,1232.00390625,0.0004489,2072.88623046875
32,1209.5601806640625,0.000300763,2076.8271484375
33,1221.6549072265625,0.000300763,2073.141845703125
34,1231.4007568359375,0.000300763,2112.469970703125
35,1208.94287109375,0.00020151121,2002.3096923828125
36,1216.928466796875,0.00020151121,2065.55908203125
37,1202.9847412109375,0.00020151121,2094.922607421875
38,1202.6461181640625,0.00020151121,2088.595458984375
39,1187.3529052734375,0.00013501251,2110.52392578125
