epoch,loss,lr,recall,specificity_at_sensitivity,val_loss,val_recall,val_specificity_at_sensitivity
0,0.19840948283672333,0.001,0.6297261118888855,0.7764331102371216,0.19727078080177307,0.504687488079071,0.9938501119613647
1,0.03839316591620445,0.001,0.9438486695289612,0.999867856502533,0.09522194415330887,0.8019176125526428,0.9999713897705078
2,0.028993306681513786,0.001,0.960014283657074,0.99995356798172,0.03624032810330391,0.9318891763687134,1.0
3,0.025856580585241318,0.001,0.9648675322532654,0.9999678730964661,0.03003295324742794,0.9470880627632141,1.0
4,0.023547809571027756,0.001,0.9689891934394836,0.999992847442627,0.022804150357842445,0.9629971385002136,1.0
5,0.022369569167494774,0.001,0.970238208770752,0.9999964237213135,0.0210974533110857,0.9674715995788574,0.9999856948852539
6,0.021523309871554375,0.001,0.9720224738121033,0.999992847442627,0.02211107313632965,0.9636363387107849,0.9999856948852539
7,0.020369594916701317,0.001,0.9734498858451843,1.0,0.019900234416127205,0.9683948755264282,1.0
8,0.019829928874969482,0.001,0.9747881293296814,0.9999856948852539,0.022360363975167274,0.9641335010528564,1.0
9,0.019426776096224785,0.001,0.975127100944519,0.999992847442627,0.026032770052552223,0.956818163394928,1.0
