epoch,loss,lr,val_loss
0,8720.2412109375,0.001,5400.84814453125
1,2785.288818359375,0.001,3024.44873046875
2,2462.220458984375,0.001,2613.488525390625
3,2343.28125,0.001,2712.592529296875
4,2268.314453125,0.001,2494.76025390625
5,2129.5859375,0.001,2530.1181640625
6,2007.3052978515625,0.001,2674.469970703125
7,1907.01611328125,0.001,2893.472412109375
8,1804.041748046875,0.00090000004,2317.63037109375
9,1686.622314453125,0.00090000004,2420.3662109375
10,1613.051513671875,0.00090000004,2682.34814453125
11,1542.849365234375,0.00090000004,2342.290283203125
12,1471.60205078125,0.00081000006,2403.240966796875
13,1443.10693359375,0.00081000006,2708.13720703125
14,1425.2735595703125,0.00081000006,2369.673828125
15,1459.914306640625,0.0007290001,2501.190673828125
16,1364.70703125,0.0007290001,2687.43701171875
