epoch,accuracy,loss,val_accuracy,val_loss
0,0.28529998660087585,1.9763554334640503,0.39149999618530273,1.6755163669586182
1,0.4365200102329254,1.5586305856704712,0.47850000858306885,1.4485468864440918
2,0.5205000042915344,1.3426762819290161,0.5174999833106995,1.3158923387527466
3,0.570580005645752,1.2093470096588135,0.5630000233650208,1.2087104320526123
4,0.6093199849128723,1.10425865650177,0.6010000109672546,1.140856146812439
5,0.6394400000572205,1.0234689712524414,0.6085000038146973,1.1022590398788452
6,0.6706399917602539,0.9391803741455078,0.637499988079071,1.0257587432861328
7,0.6966000199317932,0.8757312297821045,0.6365000009536743,0.9985926747322083
8,0.7149400115013123,0.8195878863334656,0.6635000109672546,0.9875746965408325
9,0.7381600141525269,0.7554536461830139,0.6815000176429749,0.9316233396530151
10,0.7533599734306335,0.7114639282226562,0.6769999861717224,0.9835308790206909
11,0.7706000208854675,0.6614153385162354,0.6869999766349792,0.9068624377250671
12,0.7851399779319763,0.6224139332771301,0.6769999861717224,0.9333099722862244
13,0.7994999885559082,0.5736609101295471,0.6890000104904175,0.9486343860626221
14,0.811680018901825,0.5396516919136047,0.6759999990463257,0.9904161691665649
15,0.8336399793624878,0.4853847622871399,0.6840000152587891,0.9849359393119812
16,0.8356800079345703,0.47158098220825195,0.6875,0.9924463033676147
17,0.8524799942970276,0.42650508880615234,0.6865000128746033,1.0508935451507568
18,0.8725000023841858,0.3676169812679291,0.6804999709129333,1.1503944396972656
19,0.8720800280570984,0.3655880093574524,0.6875,1.1196526288986206
